emitida,estacion,fecha,adelanto,fwi,min,max,clase,calculado,ifg,clase_ifg
2026-09-24,Altzola,2026-09-25,1,17.4,10.5,25.2,Moderado,0,,
2026-09-24,Altzola,2026-09-26,2,18.1,9.1,25.6,Moderado,0,,
2026-09-24,Altzola,2026-09-27,3,21.0,12.1,28.1,Moderado,0,,
2026-09-24,Arrasate,2026-09-25,1,27.0,17.3,39.3,Alto,0,,
2026-09-24,Arrasate,2026-09-26,2,25.1,15.8,38.7,Alto,0,,
2026-09-24,Arrasate,2026-09-27,3,29.8,19.4,44.3,Alto,0,,
2026-09-24,Berastegi,2026-09-25,1,19.5,12.6,27.4,Moderado,0,,
2026-09-24,Berastegi,2026-09-26,2,17.0,8.1,24.5,Moderado,0,,
2026-09-24,Berastegi,2026-09-27,3,16.0,7.1,23.0,Moderado,0,,
2026-09-24,Bidania,2026-09-25,1,18.6,11.7,26.5,Moderado,0,,
2026-09-24,Bidania,2026-09-26,2,12.7,3.7,20.2,Moderado,0,,
2026-09-24,Bidania,2026-09-27,3,14.9,6.1,22.0,Moderado,0,,
2026-09-24,Gipuzkoa,2026-09-25,1,22.4,14.5,31.9,Alto,0,,
2026-09-24,Gipuzkoa,2026-09-26,2,18.3,9.6,27.6,Moderado,0,,
2026-09-24,Gipuzkoa,2026-09-27,3,21.4,12.1,31.4,Alto,0,,
2026-09-24,Miramon,2026-09-25,1,12.1,5.2,20.0,Moderado,0,,
2026-09-24,Miramon,2026-09-26,2,12.0,3.0,19.5,Moderado,0,,
2026-09-24,Miramon,2026-09-27,3,13.0,4.2,20.1,Moderado,0,,
2026-09-24,Mutriku,2026-09-25,1,16.1,9.2,24.0,Moderado,0,,
2026-09-24,Mutriku,2026-09-26,2,10.9,5.2,17.7,Bajo,0,,
2026-09-24,Mutriku,2026-09-27,3,15.0,6.1,22.1,Moderado,0,,
2026-09-24,Ordizia,2026-09-25,1,34.3,24.6,46.6,Alto,0,,
2026-09-24,Ordizia,2026-09-26,2,27.5,18.1,41.0,Alto,0,,
2026-09-24,Ordizia,2026-09-27,3,32.0,21.6,46.6,Alto,0,,
2026-09-24,Pasaia,2026-09-25,1,15.4,8.6,23.3,Moderado,0,,
2026-09-24,Pasaia,2026-09-26,2,13.0,4.1,20.5,Moderado,0,,
2026-09-24,Pasaia,2026-09-27,3,17.4,8.6,24.5,Moderado,0,,
2026-09-24,Zarautz,2026-09-25,1,10.4,5.6,15.9,Bajo,0,,
2026-09-24,Zarautz,2026-09-26,2,7.5,1.8,14.3,Bajo,0,,
2026-09-24,Zarautz,2026-09-27,3,10.4,4.0,16.2,Bajo,0,,
2026-09-24,Zegama,2026-09-25,1,33.6,23.9,46.0,Alto,0,,
2026-09-24,Zegama,2026-09-26,2,21.1,12.1,28.6,Moderado,0,,
2026-09-24,Zegama,2026-09-27,3,23.6,13.2,38.1,Alto,0,,
2026-09-24,Zizurkil,2026-09-25,1,20.6,13.7,28.5,Moderado,0,,
2026-09-24,Zizurkil,2026-09-26,2,17.0,8.1,24.5,Moderado,0,,
2026-09-24,Zizurkil,2026-09-27,3,20.6,11.8,27.7,Moderado,0,,
2026-09-25,Altzola,2026-09-25,0,18.2,13.5,24.8,Moderado,1,,
2026-09-25,Altzola,2026-09-26,1,14.8,7.9,22.7,Moderado,0,1.86,Moderado
2026-09-25,Altzola,2026-09-27,2,16.8,7.8,24.3,Moderado,0,2.12,Alto
2026-09-25,Altzola,2026-09-28,3,15.8,6.9,22.8,Moderado,0,1.98,Moderado
2026-09-25,Arrasate,2026-09-25,0,29.3,21.1,44.1,Alto,1,,
2026-09-25,Arrasate,2026-09-26,1,20.6,13.7,28.5,Moderado,0,2.64,Alto
2026-09-25,Arrasate,2026-09-27,2,23.6,14.3,37.2,Alto,0,3.05,Alto
2026-09-25,Arrasate,2026-09-28,3,31.1,20.6,45.6,Alto,0,6.62,Muy alto
2026-09-25,Berastegi,2026-09-25,0,19.2,14.5,25.8,Moderado,1,,
2026-09-25,Berastegi,2026-09-26,1,15.2,8.3,23.0,Moderado,0,1.9,Moderado
2026-09-25,Berastegi,2026-09-27,2,18.3,9.4,25.8,Moderado,0,3.76,Alto
2026-09-25,Berastegi,2026-09-28,3,27.1,16.6,41.6,Alto,0,5.7,Muy alto
2026-09-25,Bidania,2026-09-25,0,16.1,11.4,22.7,Moderado,1,,
2026-09-25,Bidania,2026-09-26,1,12.1,5.2,19.9,Moderado,0,1.5,Moderado
2026-09-25,Bidania,2026-09-27,2,15.3,6.3,22.8,Moderado,0,3.09,Alto
2026-09-25,Bidania,2026-09-28,3,18.9,10.1,26.0,Moderado,0,3.87,Alto
2026-09-25,Gipuzkoa,2026-09-25,0,21.8,15.7,31.6,Alto,1,,
2026-09-25,Gipuzkoa,2026-09-26,1,16.7,9.6,25.0,Moderado,0,2.1,Alto
2026-09-25,Gipuzkoa,2026-09-27,2,19.6,10.8,29.5,Moderado,0,3.3,Alto
2026-09-25,Gipuzkoa,2026-09-28,3,25.7,15.9,37.8,Alto,0,5.2,Muy alto
2026-09-25,Miramon,2026-09-25,0,14.4,9.7,21.0,Moderado,1,,
2026-09-25,Miramon,2026-09-26,1,12.5,5.6,20.3,Moderado,0,1.55,Moderado
2026-09-25,Miramon,2026-09-27,2,12.9,4.0,20.4,Moderado,0,1.61,Moderado
2026-09-25,Miramon,2026-09-28,3,22.8,12.4,37.4,Alto,0,4.75,Muy alto
2026-09-25,Mutriku,2026-09-25,0,13.3,8.6,19.9,Moderado,1,,
2026-09-25,Mutriku,2026-09-26,1,9.8,4.9,15.3,Bajo,0,1.2,Moderado
2026-09-25,Mutriku,2026-09-27,2,14.7,5.8,22.2,Moderado,0,1.85,Moderado
2026-09-25,Mutriku,2026-09-28,3,11.2,4.8,16.9,Bajo,0,1.38,Moderado
2026-09-25,Ordizia,2026-09-25,0,29.1,20.8,43.9,Alto,1,,
2026-09-25,Ordizia,2026-09-26,1,25.8,16.1,38.1,Alto,0,3.35,Alto
2026-09-25,Ordizia,2026-09-27,2,29.7,20.4,43.2,Alto,0,6.3,Muy alto
2026-09-25,Ordizia,2026-09-28,3,36.0,25.5,50.5,Alto,0,7.77,Muy alto
2026-09-25,Pasaia,2026-09-25,0,18.8,14.1,25.4,Moderado,1,,
2026-09-25,Pasaia,2026-09-26,1,13.5,6.7,21.4,Moderado,0,1.69,Moderado
2026-09-25,Pasaia,2026-09-27,2,12.7,3.8,20.2,Moderado,0,1.59,Moderado
2026-09-25,Pasaia,2026-09-28,3,28.4,17.9,42.9,Alto,0,6.01,Muy alto
2026-09-25,Zarautz,2026-09-25,0,13.3,8.5,19.9,Moderado,1,,
2026-09-25,Zarautz,2026-09-26,1,7.1,2.3,12.6,Bajo,0,0.88,Bajo
2026-09-25,Zarautz,2026-09-27,2,9.5,3.8,16.3,Bajo,0,1.17,Moderado
2026-09-25,Zarautz,2026-09-28,3,9.8,3.4,15.6,Bajo,0,1.21,Moderado
2026-09-25,Zegama,2026-09-25,0,28.8,20.5,43.6,Alto,1,,
2026-09-25,Zegama,2026-09-26,1,19.5,12.7,27.4,Moderado,0,2.49,Alto
2026-09-25,Zegama,2026-09-27,2,27.4,18.1,41.0,Alto,0,5.79,Muy alto
2026-09-25,Zegama,2026-09-28,3,31.0,20.5,45.5,Alto,0,6.6,Muy alto
2026-09-25,Zizurkil,2026-09-25,0,19.2,14.5,25.8,Moderado,1,,
2026-09-25,Zizurkil,2026-09-26,1,17.2,10.3,25.0,Moderado,0,2.17,Alto
2026-09-25,Zizurkil,2026-09-27,2,17.5,8.5,25.0,Moderado,0,2.21,Alto
2026-09-25,Zizurkil,2026-09-28,3,30.3,19.8,44.8,Alto,0,6.44,Muy alto
